name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Raya,GKP,Arsenal,0.0,0,0,20,1,0.0,1,0.0,0.0,0.0,0.0,61,0,0,0.3,3.2,2025-10-04T14:00:00Z,90,19,0,0,0,0,7,0,28.3,1,0.0,6,18179,28422,10243,5.7,True,0,7
Arrizabalaga,GKP,Arsenal,0.0,0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,19,0,0,0,0,7,0,0.5,0,0.0,0,-533,66,599,4.3,True,0,7
Hein,GKP,Arsenal,0.0,0,0,0,0,0.0,3,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,19,0,0,0,0,7,0,0.3,0,0.0,0,-424,0,424,4.0,True,0,7
Setford,GKP,Arsenal,0.0,0,0,0,0,0.0,4,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,19,0,0,0,0,7,0,0.2,0,0.0,0,-137,166,303,4.0,True,0,7
Gabriel,DEF,Arsenal,0.0,0,1,33,1,2.0,5,0.0,0.0,0.0,0.0,61,0,0,2.9,24.6,2025-10-04T14:00:00Z,90,19,0,0,0,0,7,0,32.3,1,2.0,9,101410,104641,3231,6.3,True,0,7
Saliba,DEF,Arsenal,0.0,0,0,30,1,2.2,6,0.0,0.0,0.0,0.0,61,0,0,3.0,28.2,2025-10-04T14:00:00Z,90,19,0,0,0,0,7,0,12.6,1,0.0,6,-2405,6001,8406,6.0,True,0,7
Calafiori,DEF,Arsenal,0.0,0,0,26,1,5.4,7,0.0,0.0,0.0,0.0,61,0,0,3.3,8.8,2025-10-04T14:00:00Z,74,19,0,0,0,0,7,0,14.8,1,19.0,6,8226,19746,11520,5.7,True,0,7
J.Timber,DEF,Arsenal,0.0,1,2,43,1,16.8,8,0.0,0.0,0.0,0.0,61,0,0,6.6,20.2,2025-10-04T14:00:00Z,90,19,0,0,0,0,7,0,20.4,1,29.0,11,43581,51265,7684,5.9,True,0,7
Kiwior,DEF,Arsenal,0.0,0,0,0,0,0.0,9,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,19,0,0,0,0,7,0,0.1,0,0.0,0,-33,0,33,5.4,True,0,7
Lewis-Skelly,DEF,Arsenal,0.0,0,0,2,0,0.3,10,0.0,0.0,0.0,0.0,61,0,0,0.6,3.2,2025-10-04T14:00:00Z,15,19,0,0,0,0,7,0,1.8,0,2.0,1,-2939,416,3355,5.2,True,0,7
White,DEF,Arsenal,0.0,0,0,0,0,0.0,11,0.0,0.0,0.0,0.0,61,0,0,0.0,0.0,2025-10-04T14:00:00Z,0,19,0,0,0,0,7,0,0.4,0,0.0,0,-559,224,783,5.4,True,0,7
Zinchenko,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,12,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2025-10-05T13:00:00Z,0,15,0,0,0,0,7,0,0.3,0,0.0,0,12,290,278,4.9,False,0,7
